Year,Frequency,ISO,Total Affected,Total Damage,z,Severity
2000,77 ,"BRA,USA,COL,ARG,PER,BOL,HND,ECU,URY,MEX,GTM,CHL,NIC,CAN,SLV,PAN,BLZ,VEN,HTI,CUB,JAM",619226 ,10828162 ,5723694,0
2001,79 ,"ARG,BOL,CAN,CHL,USA,PER,COL,ECU,HTI,BRA,URY,PAN,PRI,MEX,BLZ,SLV,DOM,GTM,HND,CYM,NIC,CUB,JAM,BHS,CRI",8899981 ,14307778 ,11603879.5,0.075646561
2002,93 ,"BRA,USA,COL,ARG,PER,BOL,HND,ECU,URY,MEX,GTM,CHL,NIC,CAN,SLV,PAN,BLZ,VEN,HTI,CUB,JAM",2226601 ,20301550 ,11264075.5,0.071275099
2003,73 ,"BOL,BRA,CHL,PER,ARG,USA,CAN,DOM,PRI,COL,HTI,BMU,MEX,HND,CRI,VEN,GTM,CUB,ECU,PAN,URY",1164643 ,34004858 ,17584750.5,0.152588406
2004,73 ,"BOL,BRA,CHL,PER,ARG,USA,CAN,DOM,PRI,COL,HTI,BMU,MEX,HND,CRI,VEN,GTM,CUB,ECU,PAN,URY",7089622 ,102982007 ,55035814.5,0.634383442
2006,58 ,"BOL,BRA,GUY,ECU,USA,COL,PER,CAN,ARG,SUR,CUB,HND,CHL,MEX,HTI,PAN,VEN,JAM",1107999 ,9421468 ,5264733.5,-0.005904369
2007,85 ,"BRA, USA, PER, BOL, ARG, CAN, DOM, HTI, URY, COL, BLZ, CUB, DMA, GLP, JAM, LCA, MEX, MTQ, GTM, HND, NIC, SLV, PRY, CRI, PAN, BHS, PRI",8599363 ,22325189 ,15462276,0.125283502
2008,84 ,"USA, BRA, ECU, ARG, PER, COL, CAN, CHL, BLZ, CRI, HND, NIC, SUR, GTM, SLV, MEX, CUB, DOM, HTI, JAM, BHS, CYM, TCA, PAN, PRY, BOL, VEN, GUY, ATG, KNA",19693566 ,87335858 ,53514712,0.614814982
2009,62 ,"DOM, BRA, COL, ECU, USA, BOL, CAN, HTI, GTM, NIC, ARG, PRY, MEX, SLV, URY, PAN, PER, VEN, HND",5533575 ,18165918 ,11849746.5,0.078809555
2010,80 ,"BOL, PAN, USA, ECU, MEX, PER, DOM, HTI, BRA, COL, GTM, HND, SLV, NIC, ATG, CRI, JAM, BLZ, VEN, LCA, BRB, VCT, CAN, GRD, GUY, TTO",6066673 ,24293297 ,15179985,0.121651926
2011,81 ,"BRA, USA, BOL, PER, ECU, CHL, CAN, COL, MEX, VCT, DOM, HTI, GTM, MTQ, PRI, BHS, CRI, HND, NIC, PAN, SLV, DMA, VEN, PRY",8770318 ,87196492 ,47983405,0.543656623
2012,69 ,"USA, BOL, CAN, CHL, ECU, BRA, ARG, PRY, DOM, HTI, COL, VEN, CUB, MEX, CRI, PRI, NIC, PER, BHS, JAM, PAN, GTM, HND",7446577 ,131047638 ,69247107.5,0.817206831
2013,61 ,"BRA, USA, PER, BOL, ARG, BHS, MEX, CAN, HTI, PRY, NIC, ECU, CUB, COL, DOM, LCA, VCT, PAN",2456291 ,41104231 ,21780261,0.206562203
2014,63 ,"BRA, HND, COL, PER, USA, CHL, ARG, PRY, GTM, MEX, PAN, CAN, NIC, DOM, HTI, PRI, BOL, JAM, CRI, SLV",34419559 ,26830361 ,30624960,0.320346208
2015,80 ,"USA, ARG, DOM, CHL, ECU, HTI, MEX, BRA, CUB, PRY, SLV, PER, CRI, CAN, VEN, GUY, COL, GTM, URY, DMA, BOL, NIC, PAN, BHS, BLZ",1782039 ,35181513 ,18481776,0.16412833
2016,75 ,"USA, ECU, BRA, HTI, PER, URY, CHL, ARG, CAN, DOM, BOL, BLZ, GTM, HND, MEX, BHS, CUB, JAM, LCA, VCT, CRI, NIC, PAN, COL, VEN, PRY",95630464 ,68082279 ,81856371.5,0.979420668
2017,92 ,"CHL, USA, PER, ARG, CAN, DOM, HTI, JAM, MEX, URY, GTM, HND, BRA, COL, GUY, AIA, ATG, BHS, BLM, BRB, CUB, KNA, MAF, PRI, SXM, TCA, VGB, VIR, DMA, GLP, MTQ, CRI, NIC, PAN, SLV",14568765 ,328981653 ,171775209,2.136195535
2018,58 ,"ARG, BRA, USA, BOL, PRY, COL, GTM, CAN, CUB, DOM, PRI, VEN, MEX, CRI, HND, NIC, SLV, TTO, URY, PAN",5030157 ,81965844 ,43498000.5,0.48595344
2019,69 ,"USA, ARG, BRA, CUB, BOL, URY, PER, COL, ECU, CHL, PRY, CAN, HTI, MEX, GTM, BHS, VEN",11250349 ,31832229 ,21541289,0.20348791
2020,82 ,"USA, BRA, PER, BOL, ARG, COL, ECU, HND, GUF, GTM, CAN, CUB, SLV, MEX, URY, DOM, PRI, PAN, HTI, BLZ, CRI, NIC, VEN",10016650 ,96132961 ,53074805.5,0.609155737
2021,119 ,"BOL, PRY, USA, BRA, CHL, ECU, PER, MEX, ARG, COL, HTI, GTM, VEN, GUY, PAN, CAN, BRB, CUB, DOM, LCA, VCT, SUR, CRI, SLV, HND",3798847 ,161375523 ,82587185,0.988822332
2022,104 ,"USA, BRA, URY, PER, ECU, HTI, HND, DOM, PRI, BOL, ARG, COL, CAN, VEN, SUR, GTM, MEX, CUB, GUY, NIC, SLV, GLP, CRI, BLZ, PAN, CHL, TTO, LCA",10396103 ,156516000 ,83456051.5,1
